ID,Pokemon,Objeto,Habilidad,Teratipo,Mov1,Mov2,Mov3,Mov4
10008,Ditto,Choice Scarf,Imposter,Ghost,Transform,,,
10008,Incineroar,Assault Vest,Intimidate,Grass,Flare Blitz,Knock Off,U-turn,Fake Out
10008,Whimsicott,Focus Sash,Prankster,Ghost,Moonblast,Tailwind,Encore,Protect
10008,Miraidon,Choice Specs,Hadron Engine,Electric,Electro Drift,Draco Meteor,Volt Switch,Discharge
10009,Urshifu,Choice Band,Unseen Fist,Steel,Wicked Blow,Iron Head,Close Combat,Sucker Punch
10009,Smeargle,Focus Sash,Moody,Grass,Fake Out,Spore,Follow Me,Decorate
10009,Ursaluna-Bloodmoon,Life Orb,Mind’s Eye,Normal,Blood Moon,Earth Power,Hyper Voice,Sleep Talk
10009,Farigiraf,Mental Herb,Armor Tail,Fire,Hyper Voice,Psychic,Helping Hand,Trick Room
10009,Araquanid,Mystic Water,Water Bubble,Water,Liquidation,Leech Life,Wide Guard,Protect
10009,Calyrex-Ice,Clear Amulet,As One (Glastrier),Fire,Glacial Lance,Close Combat,Protect,Trick Room
10010,Amoonguss,Rocky Helmet,Regenerator,Fairy,Pollen Puff,Spore,Rage Powder,Protect
10010,Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Ghost,Surging Strikes,Close Combat,Coaching,U-turn
10010,Calyrex-Ice,Clear Amulet,As One (Glastrier),Grass,Glacial Lance,High Horsepower,Trick Room,Protect
10010,Pelipper,Focus Sash,Drizzle,Ghost,Hurricane,Weather Ball,Wide Guard,Protect
10010,Raging Bolt,Booster Energy,Protosynthesis,Electric,Thunderbolt,Draco Meteor,Thunderclap,Protect
10010,Incineroar,Safety Goggles,Intimidate,Ghost,Fake Out,Knock Off,Taunt,Parting Shot
10011,Calyrex-Ice,Clear Amulet,As One (Glastrier),Grass,Glacial Lance,High Horsepower,Trick Room,Protect
10011,Amoonguss,Rocky Helmet,Regenerator,Dark,Spore,Rage Powder,Pollen Puff,Protect
10011,Tornadus,Covert Cloak,Prankster,Dark,Tailwind,Rain Dance,Icy Wind,Bleakwind Storm
10011,Incineroar,Safety Goggles,Intimidate,Ghost,Fake Out,Will-O-Wisp,Knock Off,Parting Shot
10011,Raging Bolt,Assault Vest,Protosynthesis,Electric,Electroweb,Thunderclap,Thunderbolt,Draco Meteor
10011,Urshifu-Rapid-Strike,Mystic Water,Unseen Fist,Water,Surging Strikes,Close Combat,Taunt,Detect
10012,Groudon,Clear Amulet,Drought,Fire,Precipice Blades,Heat Crash,Protect,Helping Hand
10012,Amoonguss,Sitrus Berry,Regenerator,Water,Spore,Rage Powder,Protect,Clear Smog
10012,Raging Bolt,Assault Vest,Protosynthesis,Water,Thunderclap,Electroweb,Draco Meteor,Volt Switch
10012,Incineroar,Safety Goggles,Intimidate,Ghost,Flare Blitz,Parting Shot,Fake Out,Knock Off
10012,Ogerpon-Hearthflame,Hearthflame Mask,Mold Breaker,Fire,Ivy Cudgel,Wood Hammer,Spiky Shield,Follow Me
10012,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Moonblast,Dazzling Gleam,Shadow Ball,Icy Wind
10013,Rillaboom,Assault Vest,Grassy Surge,Fire,Wood Hammer,U-turn,Fake Out,Grassy Glide
10013,Calyrex-Ice,Clear Amulet,As One (Glastrier),Water,Trick Room,Glacial Lance,High Horsepower,Protect
10013,Raging Bolt,Leftovers,Protosynthesis,Fairy,Thunderclap,Dragon Pulse,Calm Mind,Protect
10013,Amoonguss,Rocky Helmet,Regenerator,Dark,Grass Knot,Sludge Bomb,Rage Powder,Spore
10013,Incineroar,Sitrus Berry,Intimidate,Grass,Flare Blitz,Knock Off,Fake Out,Parting Shot
10013,Pelipper,Safety Goggles,Drizzle,Ghost,Weather Ball,Hurricane,Wide Guard,Protect
10014,Incineroar,Safety Goggles,Intimidate,Ghost,Flare Blitz,Fake Out,Parting Shot,Will-O-Wisp
10014,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield
10014,Koraidon,Clear Amulet,Orichalcum Pulse,Fire,Flare Blitz,Collision Course,Bulk Up,Protect
10014,Chien-Pao,Focus Sash,Sword of Ruin,Stellar,Ice Spinner,Sucker Punch,Sacred Sword,Protect
10014,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Shadow Ball,Dazzling Gleam,Moonblast,Icy Wind
10014,Raging Bolt,Assault Vest,Protosynthesis,Electric,Thunderclap,Electroweb,Draco Meteor,Thunderbolt
10015,Kyogre,Mystic Water,Drizzle,Grass,Water Spout,Origin Pulse,Ice Beam,Protect
10015,Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Grass,Surging Strikes,Close Combat,Aqua Jet,U-turn
10015,Tornadus,Rocky Helmet,Prankster,Steel,Tailwind,Protect,Hurricane,Rain Dance
10015,Chien-Pao,Focus Sash,Sword of Ruin,Stellar,Ice Spinner,Sucker Punch,Protect,Sacred Sword
10015,Gholdengo,Choice Specs,Good as Gold,Water,Make It Rain,Shadow Ball,Trick,Dazzling Gleam
10015,Tsareena,Wide Lens,Queenly Majesty,Water,Power Whip,Protect,Triple Axel,Helping Hand
10016,Terapagos,Power Herb,Tera Shift,"Stellar
- Tera Starstorm",Meteor Beam,Earth Power,Protect,
10016,Tornadus,Mental Herb,Prankster,Normal,Bleakwind Storm,Tailwind,Taunt,Protect
10016,Flutter Mane,Booster Energy,Protosynthesis,Fairy,Moonblast,Icy Wind,Fake Tears,Protect
10016,Urshifu,Black Glasses,Unseen Fist,Dark,Wicked Blow,Close Combat,Sucker Punch,Detect
10016,Chi-Yu,Focus Sash,Beads of Ruin,Ghost,Heat Wave,Overheat,Dark Pulse,Protect
10016,Amoonguss,Rocky Helmet,Regenerator,Water,Pollen Puff,Spore,Rage Powder,Protect
10017,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Dazzling Gleam,Shadow Ball,Moonblast,Thunderbolt
10017,Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Grass,Surging Strikes,Close Combat,U-turn,Aqua Jet
10017,Kyogre,Assault Vest,Drizzle,Grass,Water Spout,Origin Pulse,Thunder,Ice Beam
10017,Incineroar,Safety Goggles,Intimidate,Ghost,Fake Out,Parting Shot,Will-O-Wisp,Knock Off
10017,Iron Jugulis,Booster Energy,Quark Drive,Water,Tailwind,Hurricane,Protect,Snarl
10017,Tsareena,Wide Lens,Queenly Majesty,Water,Triple Axel,Taunt,Power Whip,Protect
10018,Incineroar,Safety Goggles,Intimidate,Ghost,Knock Off,Fake Out,Taunt,Parting Shot
10018,Pelipper,Focus Sash,Drizzle,Ghost,Hurricane,Weather Ball,Wide Guard,Protect
10018,Calyrex-Ice,Clear Amulet,As One (Glastrier),Grass,Glacial Lance,High Horsepower,Trick Room,Protect
10018,Amoonguss,Rocky Helmet,Regenerator,Fairy,Spore,Rage Powder,Pollen Puff,Protect
10018,Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Ghost,Surging Strikes,Close Combat,U-turn,Coaching
10018,Raging Bolt,Booster Energy,Protosynthesis,Electric,Thunderbolt,Draco Meteor,Thunderclap,Protect
10019,Tsareena,Wide Lens,Queenly Majesty,Water,Power Whip,Triple Axel,Taunt,Protect
10019,Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Grass,Surging Strikes,Close Combat,U-turn,Aqua Jet
10019,Kyogre,Assault Vest,Drizzle,Grass,Water Spout,Origin Pulse,Ice Beam,Thunder
10019,Incineroar,Safety Goggles,Intimidate,Ghost,Fake Out,Knock Off,Will-O-Wisp,Parting Shot
10019,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Moonblast,Dazzling Gleam,Shadow Ball,Icy Wind
10019,Iron Jugulis,Booster Energy,Quark Drive,Water,Hurricane,Snarl,Tailwind,Protect
10020,Zamazenta,Rusted Shield,Dauntless Shield,Water,Body Press,Heavy Slam,Protect,Iron Defense
10020,Ting-Lu,Assault Vest,Vessel of Ruin,Poison,Ruination,Fissure,Sand Tomb,Snarl
10020,Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Water,Surging Strikes,Aqua Jet,Close Combat,U-turn
10020,Cresselia,Rocky Helmet,Levitate,Grass,Lunar Blessing,Calm Mind,Trick Room,Moonblast
10020,Grimmsnarl,Light Clay,Prankster,Ghost,Spirit Break,Reflect,Light Screen,Thunder Wave
10020,Incineroar,Safety Goggles,Intimidate,Ghost,Knock Off,Fake Out,Will-O-Wisp,Parting Shot
10021,Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Ghost,Surging Strikes,Close Combat,U-turn,Coaching
10021,Pelipper,Focus Sash,Drizzle,Ghost,Protect,Wide Guard,Weather Ball,Hurricane
10021,Calyrex-Ice,Clear Amulet,As One (Glastrier),Grass,Protect,Trick Room,Glacial Lance,High Horsepower
10021,Raging Bolt,Assault Vest,Protosynthesis,Electric,Thunderbolt,Thunderclap,Draco Meteor,Snarl
10021,Amoonguss,Sitrus Berry,Regenerator,Dark,Protect,Rage Powder,Spore,Pollen Puff
10021,Incineroar,Safety Goggles,Intimidate,Ghost,Knock Off,Parting Shot,Will-O-Wisp,Fake Out
10022,Gouging Fire,Covert Cloak,Protosynthesis,Fairy,Snarl,Breaking Swipe,Flare Blitz,Howl
10022,Rillaboom,Assault Vest,Grassy Surge,Fire,Wood Hammer,Grassy Glide,U-turn,Fake Out
10022,Urshifu,Focus Sash,Unseen Fist,Dark,Wicked Blow,Sucker Punch,Close Combat,Detect
10022,Groudon,Clear Amulet,Drought,Fire,Precipice Blades,Heat Crash,Thunder Punch,Protect
10022,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Dazzling Gleam,Moonblast,Shadow Ball,Icy Wind
10022,Raging Bolt,Safety Goggles,Protosynthesis,Water,Thunderbolt,Thunderclap,Draco Meteor,Protect
10023,Indeedee-F,Sitrus Berry,Psychic Surge,Grass,Shadow Ball,Trick Room,Follow Me,Helping Hand
10023,Ninetales-Alola,Focus Sash,Snow Warning,Fire,Blizzard,Moonblast,Aurora Veil,Fake Tears
10023,Kyurem-White,Assault Vest,Turboblaze,Fairy,Blizzard,Freeze-Dry,Earth Power,Fusion Flare
10023,Milotic,Leftovers,Competitive,Dark,Scald,Coil,Life Dew,Hypnosis
10023,Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Water,Surging Strikes,Aqua Jet,Close Combat,U-turn
10023,Ursaluna-Bloodmoon,Life Orb,Mind’s Eye,Normal,Blood Moon,Earth Power,Hyper Voice,Protect
10024,Amoonguss,Sitrus Berry,Regenerator,Dark,Sludge Bomb,Rage Powder,Spore,Protect
10024,Calyrex-Shadow,Focus Sash,As One (Spectrier),Ghost,Astral Barrage,Nasty Plot,Psyshock,Protect
10024,Urshifu-Rapid-Strike,Mystic Water,Unseen Fist,Water,Surging Strikes,Close Combat,Aqua Jet,Protect
10024,Incineroar,Safety Goggles,Intimidate,Ghost,Fake Out,Knock Off,Will-O-Wisp,Parting Shot
10024,Raging Bolt,Booster Energy,Protosynthesis,Fairy,Thunderclap,Dragon Pulse,Calm Mind,Protect
10024,Rillaboom,Assault Vest,Grassy Surge,Fire,Fake Out,Grassy Glide,Wood Hammer,U-turn
10025,Pelipper,Focus Sash,Drizzle,Stellar,Tailwind,Weather Ball,Hurricane,Wide Guard
10025,Ursaluna-Bloodmoon,Silk Scarf,Mind’s Eye,Normal,Blood Moon,Protect,Hyper Voice,Earth Power
10025,Gothitelle,Sitrus Berry,Shadow Tag,Dark,Foul Play,Fake Out,Trick Room,Taunt
10025,Whimsicott,Covert Cloak,Prankster,Rock,Tailwind,Moonblast,Fake Tears,Encore
10025,Miraidon,Choice Specs,Hadron Engine,Electric,Volt Switch,Draco Meteor,Electro Drift,Parabolic Charge
10025,Urshifu-Rapid-Strike,Choice Band,Unseen Fist,Ghost,Surging Strikes,Aqua Jet,Close Combat,U-turn
10026,Urshifu-Rapid-Strike,Mystic Water,Unseen Fist,Water,Detect,Surging Strikes,Close Combat,Aqua Jet
10026,Raging Bolt,Assault Vest,Protosynthesis,Fairy,Thunderclap,Draco Meteor,Electroweb,Snarl
10026,Amoonguss,Rocky Helmet,Regenerator,Water,Protect,Pollen Puff,Rage Powder,Spore
10026,Incineroar,Safety Goggles,Intimidate,Ghost,Flare Blitz,Will-O-Wisp,Fake Out,Parting Shot
10026,Tornadus,Covert Cloak,Prankster,Dark,Bleakwind Storm,Tailwind,Rain Dance,Taunt
10026,Terapagos,Leftovers,Tera Shift,Stellar,Protect,Tera Starstorm,Earth Power,Calm Mind
10027,Clefairy,Eviolite,Friend Guard,Water,Protect,Follow Me,After You,Helping Hand
10027,Calyrex-Shadow,Focus Sash,As One (Spectrier),Ghost,Protect,Astral Barrage,Psychic,Nasty Plot
10027,Incineroar,Sitrus Berry,Intimidate,Water,Knock Off,Fake Out,Parting Shot,Close Combat
10027,Tornadus,Covert Cloak,Prankster,Dark,Bleakwind Storm,Rain Dance,Taunt,Tailwind
10027,Rillaboom,Assault Vest,Grassy Surge,Fire,Wood Hammer,Fake Out,Grassy Glide,U-turn
10027,Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Water,Surging Strikes,Close Combat,Aqua Jet,U-turn
10028,Farigiraf,Throat Spray,Armor Tail,Normal,Trick Room,Helping Hand,Hyper Voice,Shadow Ball
10028,Iron Bundle,Focus Sash,Quark Drive,Ghost,Icy Wind,Freeze-Dry,Protect,Encore
10028,Incineroar,Assault Vest,Intimidate,Water,Fake Out,Knock Off,Flare Blitz,U-turn
10028,Iron Valiant,Clear Amulet,Quark Drive,Stellar,Knock Off,Close Combat,Spirit Break,Protect
10028,Miraidon,Life Orb,Hadron Engine,Grass,Volt Switch,Electro Drift,Draco Meteor,Protect
10028,Tornadus,Covert Cloak,Prankster,Dark,Tailwind,Rain Dance,Bleakwind Storm,Protect
10029,Zamazenta,Rusted Shield,Dauntless Shield,Grass,Body Press,Iron Defense,Heavy Slam,Wide Guard
10029,Urshifu,Focus Sash,Unseen Fist,Dark,Wicked Blow,Close Combat,Sucker Punch,Detect
10029,Porygon2,Eviolite,Download,Fairy,Trick Room,Recover,Ice Beam,Tera Blast
10029,Incineroar,Safety Goggles,Intimidate,Ghost,Flare Blitz,Knock Off,Fake Out,Parting Shot
10029,Amoonguss,Rocky Helmet,Regenerator,Water,Spore,Pollen Puff,Protect,Rage Powder
10029,Raging Bolt,Assault Vest,Protosynthesis,Electric,Thunderbolt,Thunderclap,Draco Meteor,Snarl
10030,Gholdengo,Metal Coat,Good as Gold,Fairy,Protect,Shadow Ball,Make It Rain,Nasty Plot
10030,Amoonguss,Rocky Helmet,Regenerator,Dark,Protect,Spore,Rage Powder,Pollen Puff
10030,Pelipper,Focus Sash,Drizzle,Ghost,Protect,Hurricane,Weather Ball,Wide Guard
10030,Incineroar,Safety Goggles,Intimidate,Ghost,Knock Off,Will-O-Wisp,Fake Out,Parting Shot
10030,Calyrex-Ice,Clear Amulet,As One (Glastrier),Grass,Protect,Glacial Lance,High Horsepower,Trick Room
10030,Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Ghost,Surging Strikes,Close Combat,U-turn,Aqua Jet
10031,Indeedee-F,Rocky Helmet,Psychic Surge,Grass,Psychic,Fake Out,Follow Me,Protect
10031,Incineroar,Safety Goggles,Intimidate,Ghost,Knock Off,Throat Chop,Fake Out,Parting Shot
10031,Rillaboom,Assault Vest,Grassy Surge,Grass,Wood Hammer,Grassy Glide,U-turn,Fake Out
10031,Thundurus,Covert Cloak,Prankster,Dark,Thunderbolt,Eerie Impulse,Thunder Wave,Taunt
10031,Terapagos,Leftovers,Tera Shift,"Stellar
- Tera Starstorm",Flamethrower,Calm Mind,Protect,
10031,Amoonguss,Room Service,Regenerator,Water,Pollen Puff,Spore,Rage Powder,Protect
10032,Kingambit,Assault Vest,Defiant,Flying,Tera Blast,Iron Head,Kowtow Cleave,Sucker Punch
10032,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Follow Me,Spiky Shield,Horn Leech
10032,Farigiraf,Sitrus Berry,Armor Tail,Fairy,Trick Room,Dazzling Gleam,Psychic Noise,Helping Hand
10032,Pelipper,Focus Sash,Drizzle,Grass,Hurricane,Weather Ball,Tailwind,Wide Guard
10032,Calyrex-Ice,Clear Amulet,As One (Glastrier),Water,Glacial Lance,Protect,High Horsepower,Trick Room
10032,Ursaluna-Bloodmoon,Throat Spray,Mind’s Eye,Normal,Blood Moon,Earth Power,Protect,Hyper Voice
10033,Calyrex-Shadow,Focus Sash,As One (Spectrier),Ghost,Astral Barrage,Psyshock,Nasty Plot,Protect
10033,Rillaboom,Assault Vest,Grassy Surge,Fire,Wood Hammer,Grassy Glide,U-turn,Fake Out
10033,Incineroar,Safety Goggles,Intimidate,Ghost,Knock Off,Will-O-Wisp,Parting Shot,Fake Out
10033,Urshifu-Rapid-Strike,Mystic Water,Unseen Fist,Water,Surging Strikes,Close Combat,Aqua Jet,Protect
10033,Raging Bolt,Leftovers,Protosynthesis,Fairy,Dragon Pulse,Thunderclap,Calm Mind,Protect
10033,Amoonguss,Sitrus Berry,Regenerator,Dark,Sludge Bomb,Rage Powder,Spore,Protect
10034,Tornadus,Rocky Helmet,Prankster,Dark,Protect,Rain Dance,Bleakwind Storm,Tailwind
10034,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Spiky Shield,Ivy Cudgel,Follow Me,Horn Leech
10034,Incineroar,Safety Goggles,Intimidate,Ghost,Knock Off,Fake Out,Will-O-Wisp,Parting Shot
10034,Chien-Pao,Focus Sash,Sword of Ruin,Ghost,Protect,Ice Spinner,Sucker Punch,Sacred Sword
10034,Raging Bolt,Assault Vest,Protosynthesis,Fairy,Thunderclap,Snarl,Thunderbolt,Dragon Pulse
10034,Kyogre,Mystic Water,Drizzle,Grass,Protect,Water Spout,Hydro Pump,Ice Beam
10035,Incineroar,Safety Goggles,Intimidate,Ghost,Parting Shot,Knock Off,Fake Out,Will-O-Wisp
10035,Raging Bolt,Leftovers,Protosynthesis,Fairy,Dragon Pulse,Protect,Calm Mind,Thunderclap
10035,Urshifu-Rapid-Strike,Splash Plate,Unseen Fist,Water,Surging Strikes,Close Combat,Aqua Jet,Detect
10035,Amoonguss,Sitrus Berry,Regenerator,Dark,Spore,Protect,Rage Powder,Sludge Bomb
10035,Rillaboom,Assault Vest,Grassy Surge,Poison,Wood Hammer,Grassy Glide,Fake Out,U-turn
10035,Calyrex-Shadow,Focus Sash,As One (Spectrier),Ghost,Astral Barrage,Psyshock,Nasty Plot,Protect
10036,Raging Bolt,Assault Vest,Protosynthesis,Electric,Thunderclap,Snarl,Thunderbolt,Dragon Pulse
10036,Incineroar,Safety Goggles,Intimidate,Ghost,Flare Blitz,Knock Off,Fake Out,Parting Shot
10036,Amoonguss,Rocky Helmet,Regenerator,Water,Pollen Puff,Spore,Rage Powder,Protect
10036,Lunala,Power Herb,Shadow Shield,Fairy,Moongeist Beam,Meteor Beam,Trick Room,Wide Guard
10036,Urshifu-Rapid-Strike,Life Orb,Unseen Fist,Fire,Surging Strikes,Close Combat,Aqua Jet,Detect
10036,Ursaluna,Flame Orb,Guts,Ghost,Facade,Headlong Rush,Earthquake,Protect
10037,Tornadus,Covert Cloak,Prankster,Dark,Bleakwind Storm,Taunt,Rain Dance,Tailwind
10037,Kyogre,Mystic Water,Drizzle,Grass,Water Spout,Origin Pulse,Ice Beam,Protect
10037,Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Grass,Surging Strikes,Close Combat,Aqua Jet,U-turn
10037,Amoonguss,Sitrus Berry,Regenerator,Water,Spore,Rage Powder,Protect,Pollen Puff
10037,Chien-Pao,Focus Sash,Sword of Ruin,Ghost,Ice Spinner,Sucker Punch,Protect,Sacred Sword
10037,Archaludon,Assault Vest,Stamina,Grass,Body Press,Electro Shot,Draco Meteor,Flash Cannon
10038,Pelipper,Focus Sash,Drizzle,Ghost,Weather Ball,Hurricane,Protect,Wide Guard
10038,Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Ghost,Surging Strikes,U-turn,Close Combat,Aqua Jet
10038,Amoonguss,Rocky Helmet,Regenerator,Dark,Rage Powder,Protect,Pollen Puff,Spore
10038,Gholdengo,Metal Coat,Good as Gold,Normal,Make It Rain,Protect,Nasty Plot,Shadow Ball
10038,Calyrex-Ice,Clear Amulet,As One (Glastrier),Grass,Glacial Lance,Protect,Trick Room,High Horsepower
10038,Incineroar,Sitrus Berry,Intimidate,Ghost,Knock Off,Taunt,Fake Out,Parting Shot
10039,Clefairy,Eviolite,Friend Guard,Water,Follow Me,Moonblast,Heal Pulse,Protect
10039,Incineroar,Safety Goggles,Intimidate,Ghost,Fake Out,Knock Off,Will-O-Wisp,Parting Shot
10039,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Spiky Shield,Horn Leech,Ivy Cudgel,Follow Me
10039,Tornadus,Rocky Helmet,Prankster,Ghost,Protect,Tailwind,Taunt,Air Slash
10039,Gholdengo,Choice Specs,Good as Gold,Steel,Make It Rain,Shadow Ball,Power Gem,Trick
10039,Terapagos,Covert Cloak,Tera Shift,Stellar,Protect,Calm Mind,Tera Starstorm,Earth Power
10040,Indeedee-F,Safety Goggles,Psychic Surge,Fairy,Follow Me,Trick Room,Helping Hand,Imprison
10040,Smeargle,Focus Sash,Own Tempo,Ghost,Follow Me,Wide Guard,Instruct,Spore
10040,Urshifu-Rapid-Strike,Mystic Water,Unseen Fist,Water,Surging Strikes,Taunt,Close Combat,Detect
10040,Murkrow,Covert Cloak,Prankster,Poison,Snarl,Tailwind,Quash,Rain Dance
10040,Calyrex-Shadow,Choice Specs,As One (Spectrier),Ghost,Astral Barrage,Expanding Force,Psyshock,Shadow Ball
10040,Regidrago,Dragon Fang,Dragon's Maw,Dragon,Dragon Energy,Protect,Earth Power,Dragon Pulse
10041,Incineroar,Safety Goggles,Intimidate,Ghost,Flare Blitz,Knock Off,Parting Shot,Fake Out
10041,Farigiraf,Sitrus Berry,Armor Tail,Fire,Psychic,Foul Play,Helping Hand,Trick Room
10041,Koraidon,Clear Amulet,Orichalcum Pulse,Fire,Collision Course,Flare Blitz,Flame Charge,Protect
10041,Raging Bolt,Assault Vest,Protosynthesis,Fairy,Thunderbolt,Thunderclap,Draco Meteor,Snarl
10041,Amoonguss,Rocky Helmet,Regenerator,Water,Spore,Sludge Bomb,Rage Powder,Protect
10041,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Dazzling Gleam,Moonblast,Shadow Ball,Icy Wind
10042,Gholdengo,Leftovers,Good as Gold,Water,Make It Rain,Shadow Ball,Nasty Plot,Protect
10042,Terapagos,Clear Amulet,Tera Shift,"Stellar
- Tera Starstorm",Earth Power,Calm Mind,Protect,
