ID,Pokemon,Objeto,Habilidad,Teratipo,Mov1,Mov2,Mov3,Mov4,arch
10004,Farigiraf,Safety Goggles,Armor Tail,Dragon,Psychic,Helping Hand,Uproar,Trick Room,Calyice Balanced
10004,Incineroar,Sitrus Berry,Intimidate,Grass,Fake Out,Parting Shot,Flare Blitz,Knock Off,Calyice Balanced
10004,Calyrex-Ice,Clear Amulet,As One (Glastrier),Fire,Glacial Lance,Protect,Close Combat,Trick Room,Calyice Balanced
10004,Raging Bolt,Assault Vest,Protosynthesis,Electric,Thunderclap,Thunderbolt,Volt Switch,Draco Meteor,Calyice Balanced
10004,Amoonguss,Focus Sash,Regenerator,Water,Rage Powder,Clear Smog,Pollen Puff,Spore,Calyice Balanced
10004,Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Water,Surging Strikes,Close Combat,Coaching,U-turn,Calyice Balanced
10005,Tornadus,Covert Cloak,Prankster,Dark,Bleakwind Storm,Protect,Tailwind,Rain Dance,Terapagos Specs
10005,Amoonguss,Rocky Helmet,Regenerator,Water,Rage Powder,Pollen Puff,Spore,Protect,Terapagos Specs
10005,Urshifu-Rapid-Strike,Mystic Water,Unseen Fist,Grass,Surging Strikes,Detect,Taunt,Close Combat,Terapagos Specs
10005,Raging Bolt,Assault Vest,Protosynthesis,Grass,Thunderclap,Thunderbolt,Draco Meteor,Snarl,Terapagos Specs
10005,Chi-Yu,Focus Sash,Beads of Ruin,Ghost,Heat Wave,Protect,Snarl,Overheat,Terapagos Specs
10005,Terapagos,Choice Specs,Tera Shift,Stellar,Sleep Talk,Earth Power,Tera Starstorm,Dark Pulse,Terapagos Specs
10006,Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Grass,Surging Strikes,Close Combat,Aqua Jet,U-turn,Kyogre Rain Offense
10006,Tsareena,Wide Lens,Queenly Majesty,Water,Protect,Power Whip,Triple Axel,Taunt,Kyogre Rain Offense
10006,Iron Jugulis,Booster Energy,Quark Drive,Water,Snarl,Protect,Tailwind,Hurricane,Kyogre Rain Offense
10006,Kyogre,Assault Vest,Drizzle,Grass,Water Spout,Origin Pulse,Thunder,Ice Beam,Kyogre Rain Offense
10006,Incineroar,Safety Goggles,Intimidate,Ghost,Knock Off,Will-O-Wisp,Fake Out,Parting Shot,Kyogre Rain Offense
10006,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Dazzling Gleam,Shadow Ball,Moonblast,Icy Wind,Kyogre Rain Offense
10007,Pelipper,Rocky Helmet,Drizzle,Grass,Weather Ball,Hurricane,Protect,Wide Guard,NA
10007,Latios,Soul Dew,Levitate,Steel,Luster Purge,Draco Meteor,Icy Wind,Protect,NA
10007,Moltres-Galar,Black Glasses,Berserk,Dark,Tailwind,Fiery Wrath,Foul Play,Protect,NA
10007,Zamazenta,Rusted Shield,Dauntless Shield,Grass,Body Press,Wide Guard,Heavy Slam,Protect,NA
10007,Rillaboom,Choice Band,Grassy Surge,Fire,Wood Hammer,Grassy Glide,U-turn,High Horsepower,NA
10007,Chien-Pao,Focus Sash,Sword of Ruin,Ghost,Sacred Sword,Sucker Punch,Icicle Crash,Protect,NA
10008,Farigiraf,Electric Seed,Armor Tail,Ground,Tera Blast,Helping Hand,Trick Room,Foul Play,MiraiMoona TR
10008,Ursaluna-Bloodmoon,Life Orb,Mind’s Eye,Normal,Blood Moon,Earth Power,Hyper Voice,Protect,MiraiMoona TR
10008,Ditto,Choice Scarf,Imposter,Ghost,Transform,NA,NA,NA,MiraiMoona TR
10008,Incineroar,Assault Vest,Intimidate,Grass,Flare Blitz,Knock Off,U-turn,Fake Out,MiraiMoona TR
10008,Whimsicott,Focus Sash,Prankster,Ghost,Moonblast,Tailwind,Encore,Protect,MiraiMoona TR
10008,Miraidon,Choice Specs,Hadron Engine,Electric,Electro Drift,Draco Meteor,Volt Switch,Discharge,MiraiMoona TR
10009,Urshifu,Choice Band,Unseen Fist,Steel,Wicked Blow,Iron Head,Close Combat,Sucker Punch,Calyice Slow Offense
10009,Smeargle,Focus Sash,Moody,Grass,Fake Out,Spore,Follow Me,Decorate,Calyice Slow Offense
10009,Ursaluna-Bloodmoon,Life Orb,Mind’s Eye,Normal,Blood Moon,Earth Power,Hyper Voice,Sleep Talk,Calyice Slow Offense
10009,Farigiraf,Mental Herb,Armor Tail,Fire,Hyper Voice,Psychic,Helping Hand,Trick Room,Calyice Slow Offense
10009,Araquanid,Mystic Water,Water Bubble,Water,Liquidation,Leech Life,Wide Guard,Protect,Calyice Slow Offense
10009,Calyrex-Ice,Clear Amulet,As One (Glastrier),Fire,Glacial Lance,Close Combat,Protect,Trick Room,Calyice Slow Offense
10010,Amoonguss,Rocky Helmet,Regenerator,Fairy,Pollen Puff,Spore,Rage Powder,Protect,Calyice Rain
10010,Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Ghost,Surging Strikes,Close Combat,Coaching,U-turn,Calyice Rain
10010,Calyrex-Ice,Clear Amulet,As One (Glastrier),Grass,Glacial Lance,High Horsepower,Trick Room,Protect,Calyice Rain
10010,Pelipper,Focus Sash,Drizzle,Ghost,Hurricane,Weather Ball,Wide Guard,Protect,Calyice Rain
10010,Raging Bolt,Booster Energy,Protosynthesis,Electric,Thunderbolt,Draco Meteor,Thunderclap,Protect,Calyice Rain
10010,Incineroar,Safety Goggles,Intimidate,Ghost,Fake Out,Knock Off,Taunt,Parting Shot,Calyice Rain
10011,Calyrex-Ice,Clear Amulet,As One (Glastrier),Grass,Glacial Lance,High Horsepower,Trick Room,Protect,Calyice Balanced
10011,Amoonguss,Rocky Helmet,Regenerator,Dark,Spore,Rage Powder,Pollen Puff,Protect,Calyice Balanced
10011,Tornadus,Covert Cloak,Prankster,Dark,Tailwind,Rain Dance,Icy Wind,Bleakwind Storm,Calyice Balanced
10011,Incineroar,Safety Goggles,Intimidate,Ghost,Fake Out,Will-O-Wisp,Knock Off,Parting Shot,Calyice Balanced
10011,Raging Bolt,Assault Vest,Protosynthesis,Electric,Electroweb,Thunderclap,Thunderbolt,Draco Meteor,Calyice Balanced
10011,Urshifu-Rapid-Strike,Mystic Water,Unseen Fist,Water,Surging Strikes,Close Combat,Taunt,Detect,Calyice Balanced
10012,Groudon,Clear Amulet,Drought,Fire,Precipice Blades,Heat Crash,Protect,Helping Hand,Groudon Toolbox
10012,Amoonguss,Sitrus Berry,Regenerator,Water,Spore,Rage Powder,Protect,Clear Smog,Groudon Toolbox
10012,Raging Bolt,Assault Vest,Protosynthesis,Water,Thunderclap,Electroweb,Draco Meteor,Volt Switch,Groudon Toolbox
10012,Incineroar,Safety Goggles,Intimidate,Ghost,Flare Blitz,Parting Shot,Fake Out,Knock Off,Groudon Toolbox
10012,Ogerpon-Hearthflame,Hearthflame Mask,Mold Breaker,Fire,Ivy Cudgel,Wood Hammer,Spiky Shield,Follow Me,Groudon Toolbox
10012,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Moonblast,Dazzling Gleam,Shadow Ball,Icy Wind,Groudon Toolbox
10013,Rillaboom,Assault Vest,Grassy Surge,Fire,Wood Hammer,U-turn,Fake Out,Grassy Glide,Calyice Balanced
10013,Calyrex-Ice,Clear Amulet,As One (Glastrier),Water,Trick Room,Glacial Lance,High Horsepower,Protect,Calyice Balanced
10013,Raging Bolt,Leftovers,Protosynthesis,Fairy,Thunderclap,Dragon Pulse,Calm Mind,Protect,Calyice Balanced
10013,Amoonguss,Rocky Helmet,Regenerator,Dark,Grass Knot,Sludge Bomb,Rage Powder,Spore,Calyice Balanced
10013,Incineroar,Sitrus Berry,Intimidate,Grass,Flare Blitz,Knock Off,Fake Out,Parting Shot,Calyice Balanced
10013,Pelipper,Safety Goggles,Drizzle,Ghost,Weather Ball,Hurricane,Wide Guard,Protect,Calyice Balanced
10014,Incineroar,Safety Goggles,Intimidate,Ghost,Flare Blitz,Fake Out,Parting Shot,Will-O-Wisp,Koraidon Toolbox
10014,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield,Koraidon Toolbox
10014,Koraidon,Clear Amulet,Orichalcum Pulse,Fire,Flare Blitz,Collision Course,Bulk Up,Protect,Koraidon Toolbox
10014,Chien-Pao,Focus Sash,Sword of Ruin,Stellar,Ice Spinner,Sucker Punch,Sacred Sword,Protect,Koraidon Toolbox
10014,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Shadow Ball,Dazzling Gleam,Moonblast,Icy Wind,Koraidon Toolbox
10014,Raging Bolt,Assault Vest,Protosynthesis,Electric,Thunderclap,Electroweb,Draco Meteor,Thunderbolt,Koraidon Toolbox
10015,Kyogre,Mystic Water,Drizzle,Grass,Water Spout,Origin Pulse,Ice Beam,Protect,Kyogre Rain Offense
10015,Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Grass,Surging Strikes,Close Combat,Aqua Jet,U-turn,Kyogre Rain Offense
10015,Tornadus,Rocky Helmet,Prankster,Steel,Tailwind,Protect,Hurricane,Rain Dance,Kyogre Rain Offense
10015,Chien-Pao,Focus Sash,Sword of Ruin,Stellar,Ice Spinner,Sucker Punch,Protect,Sacred Sword,Kyogre Rain Offense
10015,Gholdengo,Choice Specs,Good as Gold,Water,Make It Rain,Shadow Ball,Trick,Dazzling Gleam,Kyogre Rain Offense
10015,Tsareena,Wide Lens,Queenly Majesty,Water,Power Whip,Protect,Triple Axel,Helping Hand,Kyogre Rain Offense
10016,Terapagos,Power Herb,Tera Shift,Stellar,Meteor Beam,Earth Power,Protect,Tera Starstorm,Terapagos TW Offense
10016,Tornadus,Mental Herb,Prankster,Normal,Bleakwind Storm,Tailwind,Taunt,Protect,Terapagos TW Offense
10016,Flutter Mane,Booster Energy,Protosynthesis,Fairy,Moonblast,Icy Wind,Fake Tears,Protect,Terapagos TW Offense
10016,Urshifu,Black Glasses,Unseen Fist,Dark,Wicked Blow,Close Combat,Sucker Punch,Detect,Terapagos TW Offense
10016,Chi-Yu,Focus Sash,Beads of Ruin,Ghost,Heat Wave,Overheat,Dark Pulse,Protect,Terapagos TW Offense
10016,Amoonguss,Rocky Helmet,Regenerator,Water,Pollen Puff,Spore,Rage Powder,Protect,Terapagos TW Offense
10017,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Dazzling Gleam,Shadow Ball,Moonblast,Thunderbolt,Kyogre Rain Offense
10017,Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Grass,Surging Strikes,Close Combat,U-turn,Aqua Jet,Kyogre Rain Offense
10017,Kyogre,Assault Vest,Drizzle,Grass,Water Spout,Origin Pulse,Thunder,Ice Beam,Kyogre Rain Offense
10017,Incineroar,Safety Goggles,Intimidate,Ghost,Fake Out,Parting Shot,Will-O-Wisp,Knock Off,Kyogre Rain Offense
10017,Iron Jugulis,Booster Energy,Quark Drive,Water,Tailwind,Hurricane,Protect,Snarl,Kyogre Rain Offense
10017,Tsareena,Wide Lens,Queenly Majesty,Water,Triple Axel,Taunt,Power Whip,Protect,Kyogre Rain Offense
10018,Incineroar,Safety Goggles,Intimidate,Ghost,Knock Off,Fake Out,Taunt,Parting Shot,Calyice Rain
10018,Pelipper,Focus Sash,Drizzle,Ghost,Hurricane,Weather Ball,Wide Guard,Protect,Calyice Rain
10018,Calyrex-Ice,Clear Amulet,As One (Glastrier),Grass,Glacial Lance,High Horsepower,Trick Room,Protect,Calyice Rain
10018,Amoonguss,Rocky Helmet,Regenerator,Fairy,Spore,Rage Powder,Pollen Puff,Protect,Calyice Rain
10018,Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Ghost,Surging Strikes,Close Combat,U-turn,Coaching,Calyice Rain
10018,Raging Bolt,Booster Energy,Protosynthesis,Electric,Thunderbolt,Draco Meteor,Thunderclap,Protect,Calyice Rain
10019,Tsareena,Wide Lens,Queenly Majesty,Water,Power Whip,Triple Axel,Taunt,Protect,Kyogre Rain Offense
10019,Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Grass,Surging Strikes,Close Combat,U-turn,Aqua Jet,Kyogre Rain Offense
10019,Kyogre,Assault Vest,Drizzle,Grass,Water Spout,Origin Pulse,Ice Beam,Thunder,Kyogre Rain Offense
10019,Incineroar,Safety Goggles,Intimidate,Ghost,Fake Out,Knock Off,Will-O-Wisp,Parting Shot,Kyogre Rain Offense
10019,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Moonblast,Dazzling Gleam,Shadow Ball,Icy Wind,Kyogre Rain Offense
10019,Iron Jugulis,Booster Energy,Quark Drive,Water,Hurricane,Snarl,Tailwind,Protect,Kyogre Rain Offense
10020,Zamazenta,Rusted Shield,Dauntless Shield,Water,Body Press,Heavy Slam,Protect,Iron Defense,Zamazenta Tinglu
10020,Ting-Lu,Assault Vest,Vessel of Ruin,Poison,Ruination,Fissure,Sand Tomb,Snarl,Zamazenta Tinglu
10020,Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Water,Surging Strikes,Aqua Jet,Close Combat,U-turn,Zamazenta Tinglu
10020,Cresselia,Rocky Helmet,Levitate,Grass,Lunar Blessing,Calm Mind,Trick Room,Moonblast,Zamazenta Tinglu
10020,Grimmsnarl,Light Clay,Prankster,Ghost,Spirit Break,Reflect,Light Screen,Thunder Wave,Zamazenta Tinglu
10020,Incineroar,Safety Goggles,Intimidate,Ghost,Knock Off,Fake Out,Will-O-Wisp,Parting Shot,Zamazenta Tinglu
10021,Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Ghost,Surging Strikes,Close Combat,U-turn,Coaching,Calyice Rain
10021,Pelipper,Focus Sash,Drizzle,Ghost,Protect,Wide Guard,Weather Ball,Hurricane,Calyice Rain
10021,Calyrex-Ice,Clear Amulet,As One (Glastrier),Grass,Protect,Trick Room,Glacial Lance,High Horsepower,Calyice Rain
10021,Raging Bolt,Assault Vest,Protosynthesis,Electric,Thunderbolt,Thunderclap,Draco Meteor,Snarl,Calyice Rain
10021,Amoonguss,Sitrus Berry,Regenerator,Dark,Protect,Rage Powder,Spore,Pollen Puff,Calyice Rain
10021,Incineroar,Safety Goggles,Intimidate,Ghost,Knock Off,Parting Shot,Will-O-Wisp,Fake Out,Calyice Rain
10022,Gouging Fire,Covert Cloak,Protosynthesis,Fairy,Snarl,Breaking Swipe,Flare Blitz,Howl,NA
10022,Rillaboom,Assault Vest,Grassy Surge,Fire,Wood Hammer,Grassy Glide,U-turn,Fake Out,NA
10022,Urshifu,Focus Sash,Unseen Fist,Dark,Wicked Blow,Sucker Punch,Close Combat,Detect,NA
10022,Groudon,Clear Amulet,Drought,Fire,Precipice Blades,Heat Crash,Thunder Punch,Protect,NA
10022,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Dazzling Gleam,Moonblast,Shadow Ball,Icy Wind,NA
10022,Raging Bolt,Safety Goggles,Protosynthesis,Water,Thunderbolt,Thunderclap,Draco Meteor,Protect,NA
10023,Indeedee-F,Sitrus Berry,Psychic Surge,Grass,Shadow Ball,Trick Room,Follow Me,Helping Hand,NA
10023,Ninetales-Alola,Focus Sash,Snow Warning,Fire,Blizzard,Moonblast,Aurora Veil,Fake Tears,NA
10023,Kyurem-White,Assault Vest,Turboblaze,Fairy,Blizzard,Freeze-Dry,Earth Power,Fusion Flare,NA
10023,Milotic,Leftovers,Competitive,Dark,Scald,Coil,Life Dew,Hypnosis,NA
10023,Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Water,Surging Strikes,Aqua Jet,Close Combat,U-turn,NA
10023,Ursaluna-Bloodmoon,Life Orb,Mind’s Eye,Normal,Blood Moon,Earth Power,Hyper Voice,Protect,NA
10024,Amoonguss,Sitrus Berry,Regenerator,Dark,Sludge Bomb,Rage Powder,Spore,Protect,Calyshadow Offense
10024,Calyrex-Shadow,Focus Sash,As One (Spectrier),Ghost,Astral Barrage,Nasty Plot,Psyshock,Protect,Calyshadow Offense
10024,Urshifu-Rapid-Strike,Mystic Water,Unseen Fist,Water,Surging Strikes,Close Combat,Aqua Jet,Protect,Calyshadow Offense
10024,Incineroar,Safety Goggles,Intimidate,Ghost,Fake Out,Knock Off,Will-O-Wisp,Parting Shot,Calyshadow Offense
10024,Raging Bolt,Booster Energy,Protosynthesis,Fairy,Thunderclap,Dragon Pulse,Calm Mind,Protect,Calyshadow Offense
10024,Rillaboom,Assault Vest,Grassy Surge,Fire,Fake Out,Grassy Glide,Wood Hammer,U-turn,Calyshadow Offense
10025,Pelipper,Focus Sash,Drizzle,Stellar,Tailwind,Weather Ball,Hurricane,Wide Guard,Miraidon-Urshi
10025,Ursaluna-Bloodmoon,Silk Scarf,Mind’s Eye,Normal,Blood Moon,Protect,Hyper Voice,Earth Power,Miraidon-Urshi
10025,Gothitelle,Sitrus Berry,Shadow Tag,Dark,Foul Play,Fake Out,Trick Room,Taunt,Miraidon-Urshi
10025,Whimsicott,Covert Cloak,Prankster,Rock,Tailwind,Moonblast,Fake Tears,Encore,Miraidon-Urshi
10025,Miraidon,Choice Specs,Hadron Engine,Electric,Volt Switch,Draco Meteor,Electro Drift,Parabolic Charge,Miraidon-Urshi
10025,Urshifu-Rapid-Strike,Choice Band,Unseen Fist,Ghost,Surging Strikes,Aqua Jet,Close Combat,U-turn,Miraidon-Urshi
10026,Urshifu-Rapid-Strike,Mystic Water,Unseen Fist,Water,Detect,Surging Strikes,Close Combat,Aqua Jet,Terapagos FWG
10026,Raging Bolt,Assault Vest,Protosynthesis,Fairy,Thunderclap,Draco Meteor,Electroweb,Snarl,Terapagos FWG
10026,Amoonguss,Rocky Helmet,Regenerator,Water,Protect,Pollen Puff,Rage Powder,Spore,Terapagos FWG
10026,Incineroar,Safety Goggles,Intimidate,Ghost,Flare Blitz,Will-O-Wisp,Fake Out,Parting Shot,Terapagos FWG
10026,Tornadus,Covert Cloak,Prankster,Dark,Bleakwind Storm,Tailwind,Rain Dance,Taunt,Terapagos FWG
10026,Terapagos,Leftovers,Tera Shift,Stellar,Protect,Tera Starstorm,Earth Power,Calm Mind,Terapagos FWG
10027,Clefairy,Eviolite,Friend Guard,Water,Protect,Follow Me,After You,Helping Hand,Calyshadow Offense
10027,Calyrex-Shadow,Focus Sash,As One (Spectrier),Ghost,Protect,Astral Barrage,Psychic,Nasty Plot,Calyshadow Offense
10027,Incineroar,Sitrus Berry,Intimidate,Water,Knock Off,Fake Out,Parting Shot,Close Combat,Calyshadow Offense
10027,Tornadus,Covert Cloak,Prankster,Dark,Bleakwind Storm,Rain Dance,Taunt,Tailwind,Calyshadow Offense
10027,Rillaboom,Assault Vest,Grassy Surge,Fire,Wood Hammer,Fake Out,Grassy Glide,U-turn,Calyshadow Offense
10027,Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Water,Surging Strikes,Close Combat,Aqua Jet,U-turn,Calyshadow Offense
10028,Farigiraf,Throat Spray,Armor Tail,Normal,Trick Room,Helping Hand,Hyper Voice,Shadow Ball,Miraidon Toolbox
10028,Iron Bundle,Focus Sash,Quark Drive,Ghost,Icy Wind,Freeze-Dry,Protect,Encore,Miraidon Toolbox
10028,Incineroar,Assault Vest,Intimidate,Water,Fake Out,Knock Off,Flare Blitz,U-turn,Miraidon Toolbox
10028,Iron Valiant,Clear Amulet,Quark Drive,Stellar,Knock Off,Close Combat,Spirit Break,Protect,Miraidon Toolbox
10028,Miraidon,Life Orb,Hadron Engine,Grass,Volt Switch,Electro Drift,Draco Meteor,Protect,Miraidon Toolbox
10028,Tornadus,Covert Cloak,Prankster,Dark,Tailwind,Rain Dance,Bleakwind Storm,Protect,Miraidon Toolbox
10029,Zamazenta,Rusted Shield,Dauntless Shield,Grass,Body Press,Iron Defense,Heavy Slam,Wide Guard,Zamazenta Balance
10029,Urshifu,Focus Sash,Unseen Fist,Dark,Wicked Blow,Close Combat,Sucker Punch,Detect,Zamazenta Balance
10029,Porygon2,Eviolite,Download,Fairy,Trick Room,Recover,Ice Beam,Tera Blast,Zamazenta Balance
10029,Incineroar,Safety Goggles,Intimidate,Ghost,Flare Blitz,Knock Off,Fake Out,Parting Shot,Zamazenta Balance
10029,Amoonguss,Rocky Helmet,Regenerator,Water,Spore,Pollen Puff,Protect,Rage Powder,Zamazenta Balance
10029,Raging Bolt,Assault Vest,Protosynthesis,Electric,Thunderbolt,Thunderclap,Draco Meteor,Snarl,Zamazenta Balance
10030,Gholdengo,Metal Coat,Good as Gold,Fairy,Protect,Shadow Ball,Make It Rain,Nasty Plot,Calyice Rain
10030,Amoonguss,Rocky Helmet,Regenerator,Dark,Protect,Spore,Rage Powder,Pollen Puff,Calyice Rain
10030,Pelipper,Focus Sash,Drizzle,Ghost,Protect,Hurricane,Weather Ball,Wide Guard,Calyice Rain
10030,Incineroar,Safety Goggles,Intimidate,Ghost,Knock Off,Will-O-Wisp,Fake Out,Parting Shot,Calyice Rain
10030,Calyrex-Ice,Clear Amulet,As One (Glastrier),Grass,Protect,Glacial Lance,High Horsepower,Trick Room,Calyice Rain
10030,Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Ghost,Surging Strikes,Close Combat,U-turn,Aqua Jet,Calyice Rain
10031,Indeedee-F,Rocky Helmet,Psychic Surge,Grass,Psychic,Fake Out,Follow Me,Protect,NA
10031,Incineroar,Safety Goggles,Intimidate,Ghost,Knock Off,Throat Chop,Fake Out,Parting Shot,NA
10031,Rillaboom,Assault Vest,Grassy Surge,Grass,Wood Hammer,Grassy Glide,U-turn,Fake Out,NA
10031,Thundurus,Covert Cloak,Prankster,Dark,Thunderbolt,Eerie Impulse,Thunder Wave,Taunt,NA
10031,Terapagos,Leftovers,Tera Shift,Stellar,Flamethrower,Calm Mind,Protect,Tera Starstorm,NA
10031,Amoonguss,Room Service,Regenerator,Water,Pollen Puff,Spore,Rage Powder,Protect,NA
10032,Kingambit,Assault Vest,Defiant,Flying,Tera Blast,Iron Head,Kowtow Cleave,Sucker Punch,Calyice Slow Offense
10032,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Follow Me,Spiky Shield,Horn Leech,Calyice Slow Offense
10032,Farigiraf,Sitrus Berry,Armor Tail,Fairy,Trick Room,Dazzling Gleam,Psychic Noise,Helping Hand,Calyice Slow Offense
10032,Pelipper,Focus Sash,Drizzle,Grass,Hurricane,Weather Ball,Tailwind,Wide Guard,Calyice Slow Offense
10032,Calyrex-Ice,Clear Amulet,As One (Glastrier),Water,Glacial Lance,Protect,High Horsepower,Trick Room,Calyice Slow Offense
10032,Ursaluna-Bloodmoon,Throat Spray,Mind’s Eye,Normal,Blood Moon,Earth Power,Protect,Hyper Voice,Calyice Slow Offense
10033,Calyrex-Shadow,Focus Sash,As One (Spectrier),Ghost,Astral Barrage,Psyshock,Nasty Plot,Protect,Calyshadow Offense
10033,Rillaboom,Assault Vest,Grassy Surge,Fire,Wood Hammer,Grassy Glide,U-turn,Fake Out,Calyshadow Offense
10033,Incineroar,Safety Goggles,Intimidate,Ghost,Knock Off,Will-O-Wisp,Parting Shot,Fake Out,Calyshadow Offense
10033,Urshifu-Rapid-Strike,Mystic Water,Unseen Fist,Water,Surging Strikes,Close Combat,Aqua Jet,Protect,Calyshadow Offense
10033,Raging Bolt,Leftovers,Protosynthesis,Fairy,Dragon Pulse,Thunderclap,Calm Mind,Protect,Calyshadow Offense
10033,Amoonguss,Sitrus Berry,Regenerator,Dark,Sludge Bomb,Rage Powder,Spore,Protect,Calyshadow Offense
10034,Tornadus,Rocky Helmet,Prankster,Dark,Protect,Rain Dance,Bleakwind Storm,Tailwind,Kyogre FWG
10034,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Spiky Shield,Ivy Cudgel,Follow Me,Horn Leech,Kyogre FWG
10034,Incineroar,Safety Goggles,Intimidate,Ghost,Knock Off,Fake Out,Will-O-Wisp,Parting Shot,Kyogre FWG
10034,Chien-Pao,Focus Sash,Sword of Ruin,Ghost,Protect,Ice Spinner,Sucker Punch,Sacred Sword,Kyogre FWG
10034,Raging Bolt,Assault Vest,Protosynthesis,Fairy,Thunderclap,Snarl,Thunderbolt,Dragon Pulse,Kyogre FWG
10034,Kyogre,Mystic Water,Drizzle,Grass,Protect,Water Spout,Hydro Pump,Ice Beam,Kyogre FWG
10035,Incineroar,Safety Goggles,Intimidate,Ghost,Parting Shot,Knock Off,Fake Out,Will-O-Wisp,Calyshadow Offense
10035,Raging Bolt,Leftovers,Protosynthesis,Fairy,Dragon Pulse,Protect,Calm Mind,Thunderclap,Calyshadow Offense
10035,Urshifu-Rapid-Strike,Splash Plate,Unseen Fist,Water,Surging Strikes,Close Combat,Aqua Jet,Detect,Calyshadow Offense
10035,Amoonguss,Sitrus Berry,Regenerator,Dark,Spore,Protect,Rage Powder,Sludge Bomb,Calyshadow Offense
10035,Rillaboom,Assault Vest,Grassy Surge,Poison,Wood Hammer,Grassy Glide,Fake Out,U-turn,Calyshadow Offense
10035,Calyrex-Shadow,Focus Sash,As One (Spectrier),Ghost,Astral Barrage,Psyshock,Nasty Plot,Protect,Calyshadow Offense
10036,Raging Bolt,Assault Vest,Protosynthesis,Electric,Thunderclap,Snarl,Thunderbolt,Dragon Pulse,Lunala Balance
10036,Incineroar,Safety Goggles,Intimidate,Ghost,Flare Blitz,Knock Off,Fake Out,Parting Shot,Lunala Balance
